ACCOUNTNO	NAMEADDRID	NAMETYPE	NAME	CAREOF	ADDRESS1	ADDRESS2	CITY	STATE	ZIPCODE	PARCELNB	MHSPACE	PARCELSEQ	AREAID	ACCTTYPE	BUSINESSNAME	MAPNO	BORDERINGCOUNTY	BACODE	LAGENT	STREETNO	EXTENT	DIRECTION	STREETNAME	DESIGNATION	DIRECTIONSUFFIX	SUFFIX	UNITNUMBER	LOCCITY	ZIPCODE	LEGAL	APRDIST	BA_OWNER_ID	BA_LOCATION	LANDSQFT	SUBCODE	SUBNAME	CONDOCODE	CONDONAME	SALEP	SALEDT	DOCFEE	DEEDTYPE	BLOCK	LOT	CONDOUNIT	BOOK	PAGE	RECEPTION_NO	MILL_LEVY	CLASSCD1	CLASSCD1_DESC	CLASSCD2	CLASSCD2_DESC	CLASSCD3	CLASSCD3_DESC	CLASSCD4	CLASSCD4_DESC	CLASSCD5	CLASSCD5_DESC	TAXYEAR	LANDACT	IMPACT	LANDASD	IMPASD	ACRES	SQFT	UNITS	CUR_TAX	CUR_FEE	CUR_INT	CUR_PAY	CUR_BAL	LST_TAX	LST_FEE	LST_INT	LST_PAY	LST_BAL
R000076			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	170706300001		R000076	032															WINTER_PARK		 Subd: METES & BOUNDS 74 ALL 123.97AC LOTS 6-7 SE4SW4,NE4SW4 SEC 6 T2S R74	1			0.00	9010	METES & BOUNDS 74 ALL			0	01/01/1976		WD							63.864000	9119	FEDERAL LAND									2015	10	0	10	0	123.97	0	0										
R000131			STATE OF COLORADO		DIVISION OF WILDLIFE	6060 BROADWAY	DENVER	CO	80216-1000	145104100046		R000131	046																	 Subd: METES & BOUNDS 76 ALL 161.16 AC, LOTS 5, 6, 7, 8 & 9, SEC 4 T1N R76W	3			0.00	9030	METES & BOUNDS 76 ALL			0	02/11/2000		PAT						2000-001612	49.073000	9129	STATE LAND									2015	5180	0	1500	0	161.16	0	0										
R000067			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	144710300044		R000067	038																	 Subd: METES & BOUNDS 77 ALL 1640AC+/- S2N2,NE4SE4,NE4SW4 SEC 8 S2,SW4NW4 SEC 9 S2,E2NE4 SEC 10 W2W2,NE4NW4,SE4SW4,SE4 SEC11 N2NE4 SEC 14 NW4 SEC 15 ALL T1N R77	5			0.00	9050	METES & BOUNDS 77 ALL													49.073000	9119	FEDERAL LAND									2015	10	0	10	0	1640	0	0										
R000077			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	170707400002		R000077	032															WINTER_PARK		 Subd: METES & BOUNDS 74 ALL 4160AC+/- SEC 7,18,30 AND PART OF SEC 5,8,17,29,31, ALL LYING WITHIN GRAND COUNTY AND LOTS 1-5, SE4, S2NE4, SW4NW4 SEC 6 AND SEC 19-20 LESS MINING CLAIMS DESC B299 P131 AND SURVEY 18884 T2S R74	1			0.00	9010	METES & BOUNDS 74 ALL													63.864000	9119	FEDERAL LAND									2015	10	0	10	0	4160	0	0										
R000101			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	144706300013		R000101	038																	 Subd: METES & BOUNDS 77 ALL 400AC+/- SW4NW4,E2NW4,SW4NE4,SW4, N2SE4 SEC 6 T1N R77	5			0.00	9050	METES & BOUNDS 77 ALL													49.073000	9119	FEDERAL LAND									2015	10	0	10	0	400	0	0										
R000124			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	132731300004		R000124	058																	 Subd: METES & BOUNDS 75 ALL 155.93AC A TR IN SW4 SEC 31 T2N R75	3			0.00	9020	METES & BOUNDS 75 ALL													49.898000	9119	FEDERAL LAND									2015	10	0	10	0	155.93	0	0										
R000138			UNITED STATES OF AMERICA		BUREAU OF LAND MANAGEMENT	PO BOX 68	KREMMLING	CO	80459-0068	133331300034		R000138	071																	 Subd: METES & BOUNDS 78 ALL 160AC+/- LOT 7,11-13 (W2SW4,SW4NW4, SE4SW4) SEC 31 T2N R78	5			0.00	9060	METES & BOUNDS 78 ALL													47.554000	9119	FEDERAL LAND									2015	10	0	10	0	160	0	0										
R000099			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	195508200001		R000099	010																	 Subd: METES & BOUNDS 74 ALL 4245.61AC T4S R76W	1			0.00	9010	METES & BOUNDS 74 ALL													45.846000	9119	FEDERAL LAND									2015	10	0	10	0	4245.61	0	0										
R000082			UNITED STATES OF AMERICA		USDI, NATIONAL PARK SERVICE - RMNP	PO BOX 25287	DENVER	CO	80225-0287	094117100001		R000082	064																	 Subd: METES & BOUNDS 75 ALL 12849.73AC ALL T5N R75W IN GRAND COUNTY	4			0.00	9020	METES & BOUNDS 75 ALL													44.263000	9119	FEDERAL LAND									2015	10	0	10	0	12849.73	0	0										
R000132			STATE OF COLORADO		BOARD OF LAND COMMISSIONERS	1313 SHERMAN ST ROOM 620	DENVER	CO	80203-2240	144522400049		R000132	010																	 Subd: METES & BOUNDS 78 ALL 450AC NE4,E2SW4,N2SE4,SE4SE4 SEC 22 S2SW4,SW4NW4SW4 SEC 23 ALL T1N R78	6			0.00	9060	METES & BOUNDS 78 ALL													45.846000	9129	STATE LAND									2015	23900	0	6930	0	450.00	0	0										
R000086			UNITED STATES OF AMERICA				WASHINGTON	DC	20013	145313100007		R000086	035																	 Subd: METES & BOUNDS 75 ALL 128.85AC +/- TRACT IN NE4 SEC 13 T1N R75	1			0.00	9020	METES & BOUNDS 75 ALL													53.017000	9119	FEDERAL LAND									2015	10	0	10	0	128.85	0	0										
R000037			UNITED STATES OF AMERICA		USDA FOREST SERVICE - ARAPAHO	PO BOX 25127	DENVER	CO	80225-0127	118510200002		R000037	010																	 Subd: METES & BOUNDS 79 ALL 19357.71AC +/- ALL SEC 1,3-6,8-10,12-17 ALL SEC 20-21,24-29,32,34-36, N3/4 SE4SE4,SW4SW4 SEC 2 S2,NE4,W2NW4 SEC 11 W3/4, NE4NE4 SEC 22 ALL SEC 23 EXCEPT SW4NW4 ALL SEC 33 EXCEPT N2SW4, SW4NE4,NW4SE4 ALL IN T3N R79W	6			0.00	9070	METES & BOUNDS 79 ALL													45.846000	9119	FEDERAL LAND									2015	10	0	10	0	19357.71	0	0										
