ACCOUNTNO	NAMEADDRID	NAMETYPE	NAME	CAREOF	ADDRESS1	ADDRESS2	CITY	STATE	ZIPCODE	PARCELNB	MHSPACE	PARCELSEQ	AREAID	ACCTTYPE	BUSINESSNAME	MAPNO	BORDERINGCOUNTY	BACODE	LAGENT	STREETNO	EXTENT	DIRECTION	STREETNAME	DESIGNATION	DIRECTIONSUFFIX	SUFFIX	UNITNUMBER	LOCCITY	ZIPCODE	LEGAL	APRDIST	BA_OWNER_ID	BA_LOCATION	LANDSQFT	SUBCODE	SUBNAME	CONDOCODE	CONDONAME	SALEP	SALEDT	DOCFEE	DEEDTYPE	BLOCK	LOT	CONDOUNIT	BOOK	PAGE	RECEPTION_NO	MILL_LEVY	CLASSCD1	CLASSCD1_DESC	CLASSCD2	CLASSCD2_DESC	CLASSCD3	CLASSCD3_DESC	CLASSCD4	CLASSCD4_DESC	CLASSCD5	CLASSCD5_DESC	TAXYEAR	LANDACT	IMPACT	LANDASD	IMPASD	ACRES	SQFT	UNITS	CUR_TAX	CUR_FEE	CUR_INT	CUR_PAY	CUR_BAL	LST_TAX	LST_FEE	LST_INT	LST_PAY	LST_BAL
R098030			UNITED STATES OF AMERICA		FOREST SVS-SULPHUR RANGER DISTRICT	PO BOX 10	GRANBY	CO	80446-0010	118701400003		R098030	003					00000												 Subd: IMPROV/LAND ON GOVT LAND IMPROVEMENT ON FOREST SVS LAND S1 T3N R78 DESC. B/226 P/375	5			0	9940	IMPROV/LAND ON GOVT LAND													53.535000	9219	FEDERAL BUILDINGS									2015	0	10690	0	3100	0	0	0										
R109755			GRAND COUNTY		BOARD OF COUNTY COMMISSIONERS	PO BOX 264	HOT SULPHUR SPRINGS	CO	80451-0264	144701105003		R109755	046																	 Subd: MURPHY SUBDIVISION EXEMPTION COUNTY ROAD 57 & 572 ROW 	3			0.00	2126	MURPHY SUBDIVISION EXEMPTION			0	10/05/1999		PLAT							49.073000	9139	COUNTY LAND									2015	10	0	10	0	0	0	0										
R109980			GRAND COUNTY		BOARD OF COUNTY COMMISSIONERS	PO BOX 264	HOT SULPHUR SPRINGS	CO	80451-0264	132932400072		R109980	038		AIRPORT			00000												 Subd: PUMPS AND TANKS AND BLDG AT GRANBY AIRPORT SEC 32 T2N R76 	3			0	9999	PUMPS AND TANKS													49.073000	9249	POLITICAL SUBDIVISIONS									2015	0	2660	0	770	0	0	0										
R137541			WINTER PARK RECREATION ASSOCIATION			PO BOX 36	WINTER PARK	CO	80482-0036	000000000000		R137541	032															WINTER_PARK		 Subd: WINTER PARK-MARY JANE IMP IMPROVEMENT ONLY SUMMIT(HERON) DBL CHAIRLIFT	1			0	3010	WINTER PARK-MARY JANE IMP			30000	06/12/1990		BOS							63.864000	9245	POLITICAL SUB REC									2015	0	150000	0	43500	0	0	0										
R148130			ARCHDIOCESE OF DENVER			1300 S STEELE ST	DENVER	CO	80210-2599	119305213003		R148130	051					00000		000360			HANCOCK	ST				GRAND_LAKE	80447	 Subd: SUNNYSIDE ADDITION TO GRAND LAKE Lot: 6 - 7 Block: 1 STATE EXEMPT FILE #25-01016 	4			0.00	340	SUNNYSIDE ADDITION TO GRAND LAKE							1	6 - 7					64.764000	9259	RELIGIOUS WORSHIP BLDG	9254	PARSONAGE-RECTORY BLDG	9159	RELIGIOUS WORSHIP LAND					2015	17380	100280	5040	29080	0	0	0										
R158722			GRAND COUNTY		BOARD OF COUNTY COMMISSIONERS	PO BOX 264	HOT SULPHUR SPRINGS	CO	80451-0264	119126441023		R158722	054																	 Subd: LAKE FOREST 1ST ADD SUB CO RD 64 ROW & CO RD 6430 ROW 	4			0.00	1870	LAKE FOREST 1ST ADD SUB			0	04/12/2000		QCD						2000-004224	59.150000	9139	COUNTY LAND									2015	10	0	10	0	0	0	0										
R170212			GRAND COUNTY		BOARD OF COUNTY COMMISSIONERS	PO BOX 264	HOT SULPHUR SPRINGS	CO	80451-0264	119101427003		R170212	056																	 Subd: LAKERIDGE SUB FLG 1 AFP CO RD 4721 ROW, AKA PINE CONE LANE & CUL DE SAC 	4			0.00	1900	LAKERIDGE SUB FLG 1			0	12/07/1999		QCD						2000-000318	58.715000	9139	COUNTY LAND									2015	10	0	10	0	0	0	0										
R191070			WINTER PARK RECREATION ASSOCIATION			PO BOX 36	WINTER PARK	CO	80482-0036	170515100013		R191070	032					00000										WINTER_PARK		 Subd: WINTER PARK-MARY JANE IMP WINTER PARK/MARY JANE SKI AREA IN T.I.F.IMPS ONLY	1			0	3010	WINTER PARK-MARY JANE IMP													63.864000	9245	POLITICAL SUB REC									2015	0	10	0	10	0	0	0										
R193780			BISHOP & DIOCESE OF COLORADO	C/O ST COLUMBA CONGREGATION		BOX 18M CAPITOL HILL STATION	DENVER	CO	80218	158728338007		R193780	034		CHURCH			00000		000075			HICOUNTRY	DR				WINTER_PARK		 Subd: KARPEN SUBDIVISION Lot: 4 .213AC IN LT 4 	1			0.00	1840	KARPEN SUBDIVISION			0	08/01/1983		QCD		4				206437	70.836000	9159	RELIGIOUS WORSHIP LAND	9259	RELIGIOUS WORSHIP BLDG							2015	64930	32030	18830	9290	0	0	0										
R301166			GRAND CREEK RANCH, LLC			PO BOX 745214	ARVADA	CO	80006-5214	000000000000		R301166	010																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501940 				0.00	7000	POSSESSORY INTEREST AG BLM			275000	11/16/2007		B_S						2007012867	45.846000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	160	0	50	0	0	0	0										
R301192			LINKE, EDDIE JR			PO BOX 405	GRANBY	CO	80446-0405	000000000000		R301192	038																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501758 				0.00	7000	POSSESSORY INTEREST AG BLM													49.073000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	120	0	30	0	0	0	0										
R301187			BAUMGARDNER, RANDY			PO BOX 108	HOT SULPHUR SPRINGS	CO	80451-0108	000000000000		R301187	003																	 Subd: POSSESSORY INTEREST AG BLM GRAZING PERMIT 501905 & 501801 				0.00	7000	POSSESSORY INTEREST AG BLM													53.535000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	530	0	150	0	0	0	0										
R301211			SCHEIMER, GARY L & JANICE S			2340 OAK HILLS DR	COLORADO SPRINGS	CO	80919-3473	000000000000		R301211	071																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501812 				0.00	7000	POSSESSORY INTEREST AG BLM													47.554000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	340	0	100	0	0	0	0										
R301194			LITTLE HO RANCH			15600 HOLLY ST	BRIGHTON	CO	80602-7911	000000000000		R301194	003																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501760 				0.00	7000	POSSESSORY INTEREST AG BLM													53.535000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	60	0	20	0	0	0	0										
R301180			ELLER, JERRY D			PO BOX 684	KREMMLING	CO	80459-0684	000000000000		R301180	010																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501741 				0.00	7000	POSSESSORY INTEREST AG BLM													45.846000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	360	0	100	0	0	0	0										
R301218			YUST CATTLE COMPANY INC			PO BOX 246	KREMMLING	CO	80459-0246	000000000000		R301218	014																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501755 & 501809 & 501826 				0.00	7000	POSSESSORY INTEREST AG BLM													55.389000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	750	0	220	0	0	0	0										
R301193			BAKER, SANDRA J			PO BOX 2522	GRANBY	CO	80446-2522	000000000000		R301193	006																	 Subd: POSSESSORY INTEREST AG BLM GRAZING PERMIT 501759 				0.00	7000	POSSESSORY INTEREST AG BLM													47.554000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	60	0	20	0	0	0	0										
R301179			ELK MOUNTAIN RANCH INC			PO BOX 397	PARSHALL	CO	80468-0397	000000000000		R301179	014																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501730 				0.00	7000	POSSESSORY INTEREST AG BLM													55.389000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	90	0	30	0	0	0	0										
R301205			RITSCHARD CATTLE CO LLC			PO BOX 511	KREMMLING	CO	80459-0511	000000000000		R301205	010																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501782 & 501793 				0.00	7000	POSSESSORY INTEREST AG BLM													45.846000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	790	0	230	0	0	0	0										
R301204			PRECOURT, JAY A	C/O WES PALMER		PO BOX 103	KREMMLING	CO	80459-0103	000000000000		R301204	010																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501802 				0.00	7000	POSSESSORY INTEREST AG BLM													45.846000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	50	0	10	0	0	0	0										
R301185			GALLOWAY INC	C/O BLUE VALLEY RANCH		PO BOX 1120	KREMMLING	CO	80459-1120	000000000000		R301185	014																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501794 & 501753 				0.00	7000	POSSESSORY INTEREST AG BLM													55.389000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	390	0	110	0	0	0	0										
R301214			W DIAMOND RANCH LLC			1077 COUNTY ROAD 225	KREMMLING	CO	80459-9700	000000000000		R301214	014																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501819 				0.00	7000	POSSESSORY INTEREST AG BLM													55.389000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	570	0	170	0	0	0	0										
R301169			C LAZY U RANCH INC			PO BOX 379	GRANBY	CO	80446-0379	000000000000		R301169	003																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501715 				0.00	7000	POSSESSORY INTEREST AG BLM													53.535000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	200	0	60	0	0	0	0										
R301189			HORN RANCHES INC			PO BOX 467	GRANBY	CO	80446-0467	000000000000		R301189	003																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501745 				0.00	7000	POSSESSORY INTEREST AG BLM													53.535000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	80	0	20	0	0	0	0										
R301209			SHEEPHORN CREEK RANCH		DBA PINEY PEAK RANCH	1645 SHEEPHORN CREEK RD	BOND	CO	80423-9708	000000000000		R301209	010																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501792 				0.00	7000	POSSESSORY INTEREST AG BLM													45.846000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	130	0	40	0	0	0	0										
R301213			TROUBLESOME VALLEY RANCH			PO BOX 7	KREMMLING	CO	80459-0007	000000000000		R301213	010																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501820 				0.00	7000	POSSESSORY INTEREST AG BLM													45.846000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	640	0	190	0	0	0	0										
R301126			ALEXANDER, CHARLES C			780 COUNTY ROAD 401	GRANBY	CO	80446-9201			R301126	003																	 Subd: POSSESSORY INTEREST AG OTHER NCWCD 2940 ACRES, PT OF SEC 4, 5, 8, 9, 16, 17, 18 T2N R76W 				0.00	7002	POSSESSORY INTEREST AG OTHER													53.535000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	11290	0	3270	0	0	0	0										
R301199			LINKE, MERRIT			PO BOX 666	GRANBY	CO	80446-0666	000000000000		R301199	006																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501775 				0.00	7000	POSSESSORY INTEREST AG BLM													47.554000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	90	0	30	0	0	0	0										
R301207			WEIMER, CHARLES & VERNON			PO BOX 1075	GLENWOOD SPRINGS	CO	81602-1075	000000000000		R301207	010																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501796 				0.00	7000	POSSESSORY INTEREST AG BLM													45.846000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	380	0	110	0	0	0	0										
R301171			CULBREATH, GRADY			304 OTTER CREEK RD	SILVERTHORNE	CO	80498-8500	000000000000		R301171	014																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501933 & 501779 				0.00	7000	POSSESSORY INTEREST AG BLM													55.389000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	910	0	260	0	0	0	0										
R301195			MATHESON RANCH A COLO PARTNERSHIP			2057 COUNTY ROAD 24	KREMMLING	CO	80459-9713	000000000000		R301195	010																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501764 & 501814 				0.00	7000	POSSESSORY INTEREST AG BLM													45.846000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	790	0	230	0	0	0	0										
R301175			DAVISON FAMILY TRUST		DAVISON, LAURAYNE B, TRUSTEE	17728 US HIGHWAY 40	KREMMLING	CO	80459-9605	000000000000		R301175	010																	 Subd: POSSESSORY INTEREST AG BLM GRAZING LEASE 501907 				0.00	7000	POSSESSORY INTEREST AG BLM													45.846000	4020	AGRICULTURAL POSSESSORY INTEREST									2015	100	0	30	0	0	0	0										
R301454			UP THA CREEK EXPEDITIONS		RYAN MOYER	309 9TH ST	GLENWOOD SPRINGS	CO	81601-3605	000000000000		R301454	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED FLOATBOATING TRIPS, KAYAK INSTRUCTION CLASSES, VIDEO PHOTOGRAPHY OF CLIENTS, BLUE RIVER ACCESS TO DOTSERO 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	110	0	30	0	0	0										
R301451			TIMBERLINE TOURS INC		GREG KELCHNER	PO BOX 131	VAIL	CO	81658-0131	000000000000		R301451	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED FLOATBOATING TRIPS, ROCK CLIMBING INSTRUCTION (RED GORGE AREA), ROCK CLIMBING TOURS (GORE CANYON AREA), BLUE RIVER ACCESS TO STATE BRIDGE 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	3340	0	970	0	0	0										
R301428			GEO TOURS		BRUCE BECKER	PO BOX 483	MORRISON	CO	80465-0483	000000000000		R301428	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED FLOATBOATING TRIPS, PUMPHOUSE RECREATION AREA TO DOTSERO 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	6330	0	1840	0	0	0										
R301412			BLUE SKY WEST ADVENTURES LLC		JOHN DUTY	PO BOX 774832	STEAMBOAT SPRINGS	CO	80477-4832	000000000000		R301412	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED FLOATBOATING TRIPS, GUIDED FLOAT & WADE FISHING TRIPS, PHOTOGRAPHY OF RAFTERS & BOATERS, PUMPHOUSE RECREATION AREA TO STATE BRIDGE 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	8370	0	2430	0	0	0										
R301425			DVORAKS KAYAK & RAFTING		BILL DVORAK	17921 US HIGHWAY 285	NATHROP	CO	81236-9701	000000000000		R301425	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED FLOATBOATING TRIPS, GUIDED FLOAT & WADE FISHING TRIPS, BLUE RIVER ACCESS TO TWIN BRIDGES				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	100	0	30	0	0	0										
R301392			BLUE QUILL ANGLER INC		JIM CANNON	1532 BERGEN PKWY	EVERGREEN	CO	80439-7901	000000000000		R301392	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED WADE & FLOAT FISHING TRIP, PUMPHOUSE, REEDER CREEK 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	430	0	120	0	0	0										
R301410			ARKANSAS VALLEY ADVENTURES	C/O DAVID BRADFORD	DUKE BRADFORD	PO BOX 2878	BRECKENRIDGE	CO	80424-2878	000000000000		R301410	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED FLOATBOATING TRIPS & GUIDED FISHING TRIPS, BLUE RIVER ACCESS TO STATE BRIDGE 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	29480	0	8550	0	0	0										
R301446			ROCKY MOUNTAIN ADVENTURES INC			PO BOX 1989	FORT COLLINS	CO	80522-1989	000000000000		R301446	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED FLOATBOATING TRIPS, GUIDED FLOAT & WADE FISHING TRIPS, KAYAK INSTRUCTION CLASSES, PUMPHOUSE RECREATION AREA TO CATAMOUNT BRIDGE 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	630	0	180	0	0	0										
R301442			RAPID TRANSIT RAFTING		TOM JASTER	PO BOX 4095	ESTES PARK	CO	80517-4095	000000000000		R301442	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED FLOATBOATING TRIPS, GUIDED FISHING TRIPS, PUMPHOUSE TO STATE BRIDGE 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	41960	0	12170	0	0	0										
R301400			FLY FISHING OUTFITTERS INC			PO BOX 5346	EAGLE	CO	81631-5346	000000000000		R301400	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED WADE & FLOAT FISHING TRIPS, PUMPHOUSE RECREATION AREA TO STATE BRIDGE				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	1780	0	520	0	0	0										
R301434			KODI RAFTING		CHRISTIAN CAMPTON	PO BOX 4275	FRISCO	CO	80443-4275	000000000000		R301434	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED FLOATBOATING TRIPS, PUMPHOUSE RECREATION AREA TO STATE BRIDGE 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	15480	0	4490	0	0	0										
R301420			COLORADO RIVER GUIDES INC		BRENDA WORLEY	18370 HIGHWAY 131	BOND	CO	80423-9508	000000000000		R301420	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED FLOATBOATING TRIPS, GUIDED FLOAT & WADE FISHING TRIPS, PUMPHOUSE RECREATION AREA TO DOTSERO 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	230	0	70	0	0	0										
R301394			BRECKENRIDGE OUTFITTERS		EDWIN PARKER	PO BOX 6237	BRECKENRIDGE	CO	80424-6237	000000000000		R301394	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED WADE & FLOAT FISHING TRIPS, PUMPHOUSETO STATE BRIDGE, REEDER CREEK, MUDDY CREEK BELOW WOLFORD RES, SUNSET AND POWERS ACCESS				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	2290	0	660	0	0	0										
R301441			RANCHO DEL RIO		JEFF GIBSON	4199 TROUGH RD	BOND	CO	80423-9702	000000000000		R301441	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT VEHICLE SHUTTLE SERVICE PUMPHOUSE RECREATION AREA TO DOTSERO 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	13670	0	3960	0	0	0										
R301421			COLORADO RIVER RUNS INC		JOE KELSO	STAR ROUTE BOX 32	BOND	CO	80423-0032	000000000000		R301421	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMITGUIDED FLOATBOATING TRIPS, PUMPHOUSE RECREATION AREA TO STATE BRIDGE 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	14590	0	4230	0	0	0										
R301457			WILDWATER INC		ROBERT BRECKENRIDGE	9552 W HIGHWAY 14	BELLVUE	CO	80512-7512	000000000000		R301457	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED FLOATBOATING TRIPS, PUMPHOUSE TO STATE BRIDGE 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	100	0	30	0	0	0										
R301403			GRAND COUNTY FISHING CO		JEFF EHLERT	PO BOX 1268	FRASER	CO	80442-1268	000000000000		R301403	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED WADE & FLOAT FISHING TRIPS, BLUE RIVER ACCESS TO PUMPHOUSE RECREATION AREA 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	580	0	170	0	0	0										
R301401			MOUNTAIN ANGLER		JOHN JACKSON STREIT	PO BOX 467	BRECKENRIDGE	CO	80424-0467	000000000000		R301401	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED WADE & FLOAT FISHING TRIPS, PUMPHOUSE RECREATION AREA TO DOTSERO & PINEY CREEK, SUNSET BRIDGE, REEDER CREEK, MUDDY CREEK BELOW WOLFORD RESERVOIR, FRASER RIVER, BLUE RIVER FROM OLD COUNTY ROAD BRIDGE TO CONFLUENCE WITH COLORADO RIVER 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	1160	0	340	0	0	0										
R301396			CUTTHROAT ANGLERS LLC		JAMES H BUCKLER	PO BOX 2540	SILVERTHORNE	CO	80498-2540	000000000000		R301396	010																	 Subd: POSSESSORY INTEREST COMMERCIAL BLM PERMIT GUIDED WADE & FLOAT FISHING TRIPS, PUMPHOUSE RECREATION AREA TO STATE BRIDGE 				0	7001	POSSESSORY INTEREST COMMERCIAL													45.846000	2022	RECREATION POSSESSORY INTEREST									2015	0	11480	0	3330	0	0	0										
